"stage","test","p_value","r_squared","mm_r_squared"
"present_past_future","position_xy",0,0.526700865264526,NA
"present_past_future","position_x",0,0.523513762633643,0.523513762633643
"present_past_future","position_y",0,0.017400408912397,0.0598344756418746
"present_past_future","size_xy",0,0.0616692652417363,0.21533330348708
"present_past_future","select_order",3.73589716376294e-143,0.107619943061591,NA
"present_past_future","color",0,0.303468022302755,NA
"seasons_of_year","position_xy",2.08511214440041e-38,0.0353079414602784,NA
"seasons_of_year","position_x",0,0.0269817193771134,0.0269817193771134
"seasons_of_year","position_y",5.45036238364105e-11,0.00833146721567453,0.128148969549131
"seasons_of_year","size",0,0.0148623705738391,0.658587767483983
"seasons_of_year","select_order",1.38506295435389e-65,0.0360549679506118,NA
"seasons_of_year","color",0,0.691770613862138,NA
"days_of_week","position_xy",0,0.347916770167555,NA
"days_of_week","position_x",0,0.346598972674474,0.407965651198974
"days_of_week","position_y",3.95675714415233e-11,0.00256833714109818,0.65097320463626
"days_of_week","size_y",0,0.0199563327332334,0.671031737290783
"days_of_week","select_order",0,0.653990461470046,NA
"days_of_week","color",0,0.15278083069558,NA
"parts_of_day","size_xy",0,0.02977657588578,0.0297765758857802
"parts_of_day","select_order",0,0.288713805197267,NA
"parts_of_day","color",0,0.448145498387764,NA
"timeline","position_x",0,0.730745511704521,0.821894668246227
