"stage","test","p_value","r_squared","mm_r_squared"
"present_past_future","dedication_time",6.79524214675098e-11,0.00601592001498105,0.489303258441341
"present_past_future","dedication_events",2.13759545730774e-07,0.00251831781423443,0.644349902253044
"present_past_future","default_size",0.0975773146439386,0.0325924056708264,NA
"present_past_future","select_show_order",0,0.611350167788001,NA
"present_past_future","select_show_order_time",0.00420036256948993,0.00612213467870834,NA
"seasons_of_year","dedication_time",0.107921564141065,0.000550133580503368,0.555006437573499
"seasons_of_year","dedication_events",0.0897050659373755,0.000365346579635985,0.69961651428466
"seasons_of_year","default_size",0.271462478051026,0.0270341903669845,NA
"seasons_of_year","select_show_order",0,0.576513168549586,NA
"seasons_of_year","select_show_order_time",4.73187433003516e-05,0.0133942969227394,NA
"days_of_week","dedication_time",1.08801856413265e-14,0.00491119600463411,0.524195177118327
"days_of_week","dedication_events",0.000147666320481799,0.00100114526475982,0.6950431624418
"days_of_week","default_size",2.29513346583499e-06,0.0664581511309676,NA
"days_of_week","select_show_order_time",1.58827998355297e-05,0.017124274972766,NA
"parts_of_day","dedication_time",2.45137243837235e-13,0.00855328754323366,0.554966414525808
"parts_of_day","dedication_events",2.58536672559373e-06,0.00337050121039578,0.566070960294461
"parts_of_day","select_show_order",0,0.394704471022367,NA
"parts_of_day","select_show_order_time",0.00449811826801198,0.00788529404518842,NA
"timeline","dedication_time",0,0.0145725497106108,0.357535226073232
"timeline","dedication_events",0,0.0234940240467371,0.508505655189298
"timeline","select_show_order",0.295659384261871,0.0011013278647773,NA
"timeline","select_show_order_time",0.200870816536577,0.00179130464224214,NA
